model,rebracket,cost_bps,fractional,start_capital,final_capital,net_pnl,return_pct,trades,wins,losses,win_rate,profit_factor,recenters,max_drawdown_dollars,avg_trade
reverse_path,False,1.0,False,2000.0,2001.8699960000004,1.8699960000003557,0.09349980000001867,12,8,4,66.66666666666667,1.1595273884372046,0,4.9260519999998,0.15583299999998249
reverse_path,False,2.0,True,2000.0,1997.656942646702,-2.343057353298036,-0.11715286766490474,12,8,4,66.66666666666667,0.8640180343717886,0,9.79002762676555,-0.19525477944153222
reverse_path,False,2.0,False,2000.0,1998.2599920000005,-1.7400079999995341,-0.08700039999998133,12,8,4,66.66666666666667,0.8653682239519519,0,7.332103999999845,-0.14500066666668418
reverse_path,False,5.0,True,2000.0,1983.317616804774,-16.682383195226066,-0.834119159761304,12,8,4,66.66666666666667,0.23963900643920574,0,19.317086685963204,-1.3901985996021484
reverse_path,False,5.0,False,2000.0,1987.4299799999994,-12.570020000000568,-0.6285010000000257,12,8,4,66.66666666666667,0.23958621941259778,0,14.550260000000435,-1.047501666666684
reverse_path,False,10.0,True,2000.0,1959.6282562379822,-40.371743762017786,-2.0185871881008843,12,0,12,0.0,0.0,0,40.371743762017786,-3.364311980168115
reverse_path,False,10.0,False,2000.0,1969.3799599999993,-30.6200400000007,-1.5310020000000368,12,0,12,0.0,0.0,0,30.6200400000007,-2.5516700000000174
close_only,True,0.0,True,2000.0,1996.28896417169,-3.7110358283100595,-0.18555179141550582,20,11,9,55.0,0.9082175236525233,14,19.531297741168373,-0.18555179141548844
close_only,True,0.0,False,2000.0,1997.1399999999994,-2.860000000000582,-0.14300000000002644,20,11,9,55.0,0.9061063690085182,14,14.740000000000236,-0.1430000000000291
close_only,True,1.0,True,2000.0,1988.3185836021185,-11.681416397881549,-0.584070819894078,20,10,10,50.0,0.7364124405858422,14,24.676286000758182,-0.5840708198940783
close_only,True,1.0,False,2000.0,1991.1457739999992,-8.854226000000835,-0.44271130000004266,20,10,10,50.0,0.7352347027336201,14,18.64710200000013,-0.44271130000002906
close_only,True,2.0,True,2000.0,1980.378440473133,-19.62155952686703,-0.9810779763433475,20,10,10,50.0,0.5930573062745117,14,29.808933967362236,-0.9810779763433469
close_only,True,2.0,False,2000.0,1985.1515479999991,-14.848452000000862,-0.7424226000000478,20,10,10,50.0,0.5925633439345489,14,22.55420400000048,-0.7424226000000292
close_only,True,5.0,True,2000.0,1956.7383506063684,-43.261649393631615,-2.1630824696815765,20,9,11,45.0,0.28487434964760927,14,45.13310720989284,-2.1630824696815987
close_only,True,5.0,False,2000.0,1967.1688699999997,-32.83113000000026,-1.6415565000000076,20,9,11,45.0,0.2852934876216087,14,34.27550999999971,-1.6415565000000292
close_only,True,10.0,True,2000.0,1917.932876905935,-82.06712309406498,-4.103356154703253,20,3,17,15.0,0.05174065950447396,14,82.06712309406498,-4.103356154703244
close_only,True,10.0,False,2000.0,1937.1977399999994,-62.802260000000615,-3.1401130000000332,20,3,17,15.0,0.05200873328168612,14,62.802260000000615,-3.140113000000029
close_only,False,0.0,True,2000.0,2014.2626002682641,14.262600268264123,0.713130013413199,16,10,6,62.5,1.5181772407267007,0,9.664521433462369,0.891412516766515
close_only,False,0.0,False,2000.0,2010.6599999999999,10.659999999999854,0.5329999999999835,16,10,6,62.5,1.5189873417721516,0,7.220000000000027,0.6662499999999909
close_only,False,1.0,True,2000.0,2007.8280379753494,7.828037975349389,0.3914018987674739,16,10,6,62.5,1.2619307339167372,0,10.447815991670268,0.4892523734593366
