day,entry_time,exit_time,entry,exit,shares,gross_pnl,cost,net_pnl,reason,generation,hold_seconds,profile
2026-07-14,2026-07-14T17:00:00+00:00,2026-07-14T19:55:00+00:00,751.97,752.1,2.6605388573300717,0.34587005145289723,0.0,0.34587005145289723,end_of_day,0,10500,trend_path|rb=False|bps=0.0|frac=True
2026-07-15,2026-07-15T16:03:00+00:00,2026-07-15T17:30:00+00:00,751.97,752.97,2.6609988092582775,2.6609988092582775,0.0,2.6609988092582775,target,0,5220,trend_path|rb=False|bps=0.0|frac=True
2026-07-16,2026-07-16T13:35:00+00:00,2026-07-16T14:05:00+00:00,751.97,752.97,2.6645375126763104,2.6645375126763104,0.0,2.6645375126763104,target,0,1800,trend_path|rb=False|bps=0.0|frac=True
2026-07-16,2026-07-16T16:13:00+00:00,2026-07-16T18:40:00+00:00,751.97,750.33,2.6680809220047097,-4.375652712087687,0.0,-4.375652712087687,trailing_stop,0,8820,trend_path|rb=False|bps=0.0|frac=True
2026-07-13,2026-07-13T13:51:00+00:00,2026-07-13T13:55:00+00:00,751.97,752.97,2.0,2.0,0.0,2.0,target,0,240,trend_path|rb=False|bps=0.0|frac=False
2026-07-13,2026-07-13T14:16:00+00:00,2026-07-13T14:26:00+00:00,751.97,752.97,2.0,2.0,0.0,2.0,target,0,600,trend_path|rb=False|bps=0.0|frac=False
2026-07-13,2026-07-13T14:37:00+00:00,2026-07-13T15:00:00+00:00,751.97,752.97,2.0,2.0,0.0,2.0,target,0,1380,trend_path|rb=False|bps=0.0|frac=False
2026-07-13,2026-07-13T15:13:00+00:00,2026-07-13T16:29:00+00:00,751.97,749.93,2.0,-4.080000000000155,0.0,-4.080000000000155,trailing_stop,0,4560,trend_path|rb=False|bps=0.0|frac=False
2026-07-14,2026-07-14T14:35:00+00:00,2026-07-14T15:04:00+00:00,751.97,752.97,2.0,2.0,0.0,2.0,target,0,1740,trend_path|rb=False|bps=0.0|frac=False
2026-07-14,2026-07-14T15:18:00+00:00,2026-07-14T16:02:00+00:00,751.97,750.26,2.0,-3.4200000000000728,0.0,-3.4200000000000728,trailing_stop,0,2640,trend_path|rb=False|bps=0.0|frac=False
2026-07-14,2026-07-14T17:00:00+00:00,2026-07-14T19:55:00+00:00,751.97,752.1,2.0,0.2599999999999909,0.0,0.2599999999999909,end_of_day,0,10500,trend_path|rb=False|bps=0.0|frac=False
2026-07-15,2026-07-15T16:03:00+00:00,2026-07-15T17:30:00+00:00,751.97,752.97,2.0,2.0,0.0,2.0,target,0,5220,trend_path|rb=False|bps=0.0|frac=False
2026-07-16,2026-07-16T13:35:00+00:00,2026-07-16T14:05:00+00:00,751.97,752.97,2.0,2.0,0.0,2.0,target,0,1800,trend_path|rb=False|bps=0.0|frac=False
2026-07-16,2026-07-16T16:13:00+00:00,2026-07-16T18:40:00+00:00,751.97,750.33,2.0,-3.2799999999999727,0.0,-3.2799999999999727,trailing_stop,0,8820,trend_path|rb=False|bps=0.0|frac=False
2026-07-13,2026-07-13T13:51:00+00:00,2026-07-13T13:55:00+00:00,751.97,752.97,2.6596805723632593,2.6596805723632593,0.40026596805723635,2.259414604306023,target,0,240,trend_path|rb=False|bps=1.0|frac=True
2026-07-13,2026-07-13T14:16:00+00:00,2026-07-13T14:26:00+00:00,751.97,752.97,2.6626852329272523,2.6626852329272523,0.4007181514441539,2.2619670814830983,target,0,600,trend_path|rb=False|bps=1.0|frac=True
2026-07-13,2026-07-13T14:37:00+00:00,2026-07-13T15:00:00+00:00,751.97,752.97,2.6656932878782253,2.6656932878782253,0.4011708456659457,2.2645224422122796,target,0,1380,trend_path|rb=False|bps=1.0|frac=True
2026-07-13,2026-07-13T15:13:00+00:00,2026-07-13T16:29:00+00:00,751.97,749.93,2.6687047410508415,-5.444157671743923,0.40081276505842595,-5.844970436802349,trailing_stop,0,4560,trend_path|rb=False|bps=1.0|frac=True
2026-07-14,2026-07-14T14:35:00+00:00,2026-07-14T15:04:00+00:00,751.97,752.97,2.6609318638924413,2.6609318638924413,0.40045427992462906,2.260477583967812,target,0,1740,trend_path|rb=False|bps=1.0|frac=True
